time (s), 25.000000,time (s), 100.000000
5.000000000000000000e+00,7.666420478444101461e-01,5.000000000000000000e+00,3.481642047844410115e+00
6.000000000000000000e+00,1.066642047844410079e+00,6.000000000000000000e+00,3.881642047844409582e+00
7.000000000000000000e+00,1.166642047844410168e+00,7.000000000000000000e+00,4.681642047844410293e+00
8.000000000000000000e+00,1.266642047844410257e+00,8.000000000000000000e+00,5.181642047844410293e+00
9.000000000000000000e+00,1.466642047844409991e+00,9.000000000000000000e+00,5.581642047844409760e+00
1.000000000000000000e+01,1.666642047844410168e+00,1.000000000000000000e+01,6.081642047844409760e+00
1.100000000000000000e+01,1.866642047844409902e+00,1.100000000000000000e+01,6.581642047844409760e+00
1.200000000000000000e+01,2.066642047844410079e+00,1.200000000000000000e+01,7.081642047844409760e+00
1.300000000000000000e+01,2.266642047844409813e+00,1.300000000000000000e+01,7.481642047844410115e+00
1.400000000000000000e+01,2.466642047844409991e+00,1.400000000000000000e+01,7.981642047844410115e+00
1.500000000000000000e+01,2.566642047844410079e+00,1.500000000000000000e+01,8.581642047844409760e+00
1.600000000000000000e+01,2.466642047844409991e+00,1.600000000000000000e+01,9.081642047844409760e+00
1.700000000000000000e+01,2.766642047844409813e+00,1.700000000000000000e+01,9.581642047844409760e+00
1.800000000000000000e+01,2.566642047844410079e+00,1.800000000000000000e+01,9.981642047844410115e+00
1.900000000000000000e+01,3.066642047844410079e+00,1.900000000000000000e+01,1.068164204784440940e+01
2.000000000000000000e+01,2.866642047844409902e+00,2.000000000000000000e+01,1.088164204784441047e+01
2.100000000000000000e+01,2.966642047844409991e+00,2.100000000000000000e+01,1.138164204784441047e+01
2.200000000000000000e+01,3.366642047844409902e+00,2.200000000000000000e+01,1.178164204784441083e+01
2.300000000000000000e+01,3.166642047844410168e+00,2.300000000000000000e+01,1.218164204784440940e+01
2.400000000000000000e+01,3.466642047844409547e+00,2.400000000000000000e+01,1.258164204784440976e+01
2.500000000000000000e+01,3.666642047844409724e+00,2.500000000000000000e+01,1.298164204784441011e+01
2.600000000000000000e+01,3.666642047844409724e+00,2.600000000000000000e+01,1.338164204784441047e+01
2.700000000000000000e+01,3.866642047844409902e+00,2.700000000000000000e+01,1.368164204784440940e+01
2.800000000000000000e+01,3.766642047844410257e+00,2.800000000000000000e+01,1.418164204784440940e+01
2.900000000000000000e+01,4.066642047844410079e+00,2.900000000000000000e+01,1.458164204784440976e+01
3.000000000000000000e+01,4.066642047844410079e+00,3.000000000000000000e+01,1.498164204784441011e+01
3.100000000000000000e+01,4.066642047844410079e+00,3.100000000000000000e+01,1.538164204784441047e+01
3.200000000000000000e+01,4.166642047844409724e+00,3.200000000000000000e+01,1.588164204784441047e+01
3.300000000000000000e+01,4.266642047844410257e+00,3.300000000000000000e+01,1.628164204784441083e+01
3.400000000000000000e+01,4.366642047844409902e+00,3.400000000000000000e+01,1.658164204784441154e+01
3.500000000000000000e+01,4.466642047844409547e+00,3.500000000000000000e+01,1.698164204784441011e+01
3.600000000000000000e+01,4.566642047844410079e+00,3.600000000000000000e+01,1.738164204784441225e+01
3.700000000000000000e+01,4.866642047844409902e+00,3.700000000000000000e+01,1.788164204784441225e+01
3.800000000000000000e+01,4.866642047844409902e+00,3.800000000000000000e+01,1.808164204784441154e+01
3.900000000000000000e+01,4.966642047844409547e+00,3.900000000000000000e+01,1.828164204784441083e+01
4.000000000000000000e+01,5.166642047844409724e+00,4.000000000000000000e+01,1.858164204784441154e+01
4.100000000000000000e+01,5.366642047844409902e+00,4.100000000000000000e+01,1.888164204784441225e+01
4.200000000000000000e+01,5.366642047844409902e+00,4.200000000000000000e+01,1.908164204784441154e+01
4.300000000000000000e+01,5.566642047844410079e+00,4.300000000000000000e+01,1.918164204784441296e+01
4.400000000000000000e+01,5.766642047844410257e+00,4.400000000000000000e+01,1.928164204784441083e+01
4.500000000000000000e+01,5.666642047844409724e+00,4.500000000000000000e+01,1.948164204784441011e+01
4.600000000000000000e+01,5.766642047844410257e+00,4.600000000000000000e+01,1.988164204784441225e+01
4.700000000000000000e+01,5.766642047844410257e+00,4.700000000000000000e+01,2.018164204784441296e+01
4.800000000000000000e+01,5.866642047844409902e+00,4.800000000000000000e+01,2.028164204784441083e+01
