time (s), 25.000000,time (s), 100.000000
5.000000000000000000e+00,8.207852776122748217e-01,5.000000000000000000e+00,3.796785277612274356e+00
6.000000000000000000e+00,1.120785277612274866e+00,6.000000000000000000e+00,4.296785277612274356e+00
7.000000000000000000e+00,1.220785277612274733e+00,7.000000000000000000e+00,4.796785277612274356e+00
8.000000000000000000e+00,1.520785277612274777e+00,8.000000000000000000e+00,5.496785277612275422e+00
9.000000000000000000e+00,1.420785277612274911e+00,9.000000000000000000e+00,6.096785277612275067e+00
1.000000000000000000e+01,1.820785277612274822e+00,1.000000000000000000e+01,6.696785277612274712e+00
1.100000000000000000e+01,1.920785277612274911e+00,1.100000000000000000e+01,7.196785277612274712e+00
1.200000000000000000e+01,2.120785277612274644e+00,1.200000000000000000e+01,7.696785277612274712e+00
1.300000000000000000e+01,2.320785277612274822e+00,1.300000000000000000e+01,8.196785277612274712e+00
1.400000000000000000e+01,2.520785277612274555e+00,1.400000000000000000e+01,8.796785277612274356e+00
1.500000000000000000e+01,2.620785277612275088e+00,1.500000000000000000e+01,9.396785277612274001e+00
1.600000000000000000e+01,2.720785277612274733e+00,1.600000000000000000e+01,9.796785277612274356e+00
1.700000000000000000e+01,2.920785277612274911e+00,1.700000000000000000e+01,1.019678527761227471e+01
1.800000000000000000e+01,3.020785277612274555e+00,1.800000000000000000e+01,1.059678527761227329e+01
1.900000000000000000e+01,3.120785277612275088e+00,1.900000000000000000e+01,1.119678527761227471e+01
2.000000000000000000e+01,3.420785277612274911e+00,2.000000000000000000e+01,1.159678527761227329e+01
2.100000000000000000e+01,3.420785277612274911e+00,2.100000000000000000e+01,1.199678527761227365e+01
2.200000000000000000e+01,3.520785277612274555e+00,2.200000000000000000e+01,1.239678527761227400e+01
2.300000000000000000e+01,3.620785277612275088e+00,2.300000000000000000e+01,1.289678527761227400e+01
2.400000000000000000e+01,3.920785277612274911e+00,2.400000000000000000e+01,1.319678527761227471e+01
2.500000000000000000e+01,4.120785277612275088e+00,2.500000000000000000e+01,1.359678527761227329e+01
2.600000000000000000e+01,4.220785277612274733e+00,2.600000000000000000e+01,1.409678527761227329e+01
2.700000000000000000e+01,4.420785277612274911e+00,2.700000000000000000e+01,1.429678527761227436e+01
2.800000000000000000e+01,4.420785277612274911e+00,2.800000000000000000e+01,1.479678527761227436e+01
2.900000000000000000e+01,4.520785277612274555e+00,2.900000000000000000e+01,1.549678527761227365e+01
3.000000000000000000e+01,4.520785277612274555e+00,3.000000000000000000e+01,1.569678527761227471e+01
3.100000000000000000e+01,4.620785277612275088e+00,3.100000000000000000e+01,1.589678527761227400e+01
3.200000000000000000e+01,4.820785277612274378e+00,3.200000000000000000e+01,1.629678527761227613e+01
3.300000000000000000e+01,5.020785277612274555e+00,3.300000000000000000e+01,1.669678527761227471e+01
3.400000000000000000e+01,5.220785277612274733e+00,3.400000000000000000e+01,1.679678527761227613e+01
3.500000000000000000e+01,5.420785277612274911e+00,3.500000000000000000e+01,1.719678527761227471e+01
3.600000000000000000e+01,5.620785277612275088e+00,3.600000000000000000e+01,1.729678527761227613e+01
3.700000000000000000e+01,5.720785277612274733e+00,3.700000000000000000e+01,1.769678527761227471e+01
3.800000000000000000e+01,5.920785277612274911e+00,3.800000000000000000e+01,1.809678527761227684e+01
3.900000000000000000e+01,5.920785277612274911e+00,3.900000000000000000e+01,1.839678527761227755e+01
4.000000000000000000e+01,6.220785277612274733e+00,4.000000000000000000e+01,1.869678527761227471e+01
4.100000000000000000e+01,6.420785277612274911e+00,4.100000000000000000e+01,1.879678527761227613e+01
4.200000000000000000e+01,6.420785277612274911e+00,4.200000000000000000e+01,1.919678527761227471e+01
4.300000000000000000e+01,6.320785277612275266e+00,4.300000000000000000e+01,1.939678527761227755e+01
4.400000000000000000e+01,6.420785277612274911e+00,4.400000000000000000e+01,1.979678527761227613e+01
4.500000000000000000e+01,6.520785277612275443e+00,4.500000000000000000e+01,2.009678527761227684e+01
4.600000000000000000e+01,6.720785277612274733e+00,4.600000000000000000e+01,2.009678527761227684e+01
4.700000000000000000e+01,7.020785277612275443e+00,4.700000000000000000e+01,2.049678527761227542e+01
4.800000000000000000e+01,6.920785277612274911e+00,4.800000000000000000e+01,2.059678527761227684e+01
4.900000000000000000e+01,7.120785277612275088e+00,4.900000000000000000e+01,2.089678527761227755e+01
5.000000000000000000e+01,7.220785277612274733e+00,5.000000000000000000e+01,2.139678527761227755e+01
5.100000000000000000e+01,7.320785277612275266e+00,5.100000000000000000e+01,2.159678527761227684e+01
5.200000000000000000e+01,7.520785277612275443e+00,5.200000000000000000e+01,2.189678527761227755e+01
5.300000000000000000e+01,7.420785277612274911e+00,5.300000000000000000e+01,2.199678527761227542e+01
5.400000000000000000e+01,7.520785277612275443e+00,5.400000000000000000e+01,2.219678527761227471e+01
5.500000000000000000e+01,7.720785277612274733e+00,5.500000000000000000e+01,2.249678527761227542e+01
5.600000000000000000e+01,7.620785277612275088e+00,5.600000000000000000e+01,2.259678527761227684e+01
5.700000000000000000e+01,7.820785277612275266e+00,5.700000000000000000e+01,2.289678527761227755e+01
5.800000000000000000e+01,7.920785277612274911e+00,5.800000000000000000e+01,2.309678527761227684e+01
5.900000000000000000e+01,7.920785277612274911e+00,5.900000000000000000e+01,2.329678527761227613e+01
6.000000000000000000e+01,8.120785277612274200e+00,6.000000000000000000e+01,2.359678527761227684e+01
6.100000000000000000e+01,8.220785277612273845e+00,6.100000000000000000e+01,2.369678527761227471e+01
6.200000000000000000e+01,8.320785277612275266e+00,6.200000000000000000e+01,2.389678527761227755e+01
6.300000000000000000e+01,8.320785277612275266e+00,6.300000000000000000e+01,2.399678527761227542e+01
6.400000000000000000e+01,8.420785277612274911e+00,6.400000000000000000e+01,2.409678527761227684e+01
6.500000000000000000e+01,8.620785277612274200e+00,6.500000000000000000e+01,2.439678527761227755e+01
6.600000000000000000e+01,8.720785277612273845e+00,6.600000000000000000e+01,2.449678527761227542e+01
6.700000000000000000e+01,8.820785277612275266e+00,6.700000000000000000e+01,2.489678527761227755e+01
6.800000000000000000e+01,8.920785277612274911e+00,6.800000000000000000e+01,2.489678527761227755e+01
6.900000000000000000e+01,9.020785277612274555e+00,6.900000000000000000e+01,2.509678527761227684e+01
7.000000000000000000e+01,8.920785277612274911e+00,7.000000000000000000e+01,2.529678527761227613e+01
7.100000000000000000e+01,9.120785277612274200e+00,7.100000000000000000e+01,2.539678527761227755e+01
7.200000000000000000e+01,9.120785277612274200e+00,7.200000000000000000e+01,2.549678527761227542e+01
7.300000000000000000e+01,9.320785277612273489e+00,7.300000000000000000e+01,2.559678527761227684e+01
7.400000000000000000e+01,9.420785277612274911e+00,7.400000000000000000e+01,2.579678527761227613e+01
7.500000000000000000e+01,9.520785277612274555e+00,7.500000000000000000e+01,2.599678527761227542e+01
7.600000000000000000e+01,9.520785277612274555e+00,7.600000000000000000e+01,2.609678527761227684e+01
7.700000000000000000e+01,9.720785277612273845e+00,7.700000000000000000e+01,2.629678527761227613e+01
7.800000000000000000e+01,9.720785277612273845e+00,7.800000000000000000e+01,2.649678527761227542e+01
7.900000000000000000e+01,1.002078527761227456e+01,7.900000000000000000e+01,2.679678527761227613e+01
8.000000000000000000e+01,1.002078527761227456e+01,8.000000000000000000e+01,2.679678527761227613e+01
8.100000000000000000e+01,1.002078527761227456e+01,8.100000000000000000e+01,2.699678527761227542e+01
8.200000000000000000e+01,1.032078527761227349e+01,8.200000000000000000e+01,2.699678527761227542e+01
8.300000000000000000e+01,1.012078527761227420e+01,8.300000000000000000e+01,2.709678527761227684e+01
8.400000000000000000e+01,1.012078527761227420e+01,8.400000000000000000e+01,2.729678527761227613e+01
8.500000000000000000e+01,1.032078527761227349e+01,8.500000000000000000e+01,2.739678527761227755e+01
8.600000000000000000e+01,1.042078527761227491e+01,8.600000000000000000e+01,2.749678527761227542e+01
8.700000000000000000e+01,1.052078527761227456e+01,8.700000000000000000e+01,2.759678527761227684e+01
8.800000000000000000e+01,1.042078527761227491e+01,8.800000000000000000e+01,2.759678527761227684e+01
8.900000000000000000e+01,1.062078527761227420e+01,8.900000000000000000e+01,2.779678527761227613e+01
9.000000000000000000e+01,1.062078527761227420e+01,9.000000000000000000e+01,2.789678527761227755e+01
9.100000000000000000e+01,1.092078527761227491e+01,9.100000000000000000e+01,2.799678527761227542e+01
9.200000000000000000e+01,1.092078527761227491e+01,9.200000000000000000e+01,2.829678527761227613e+01
9.300000000000000000e+01,1.102078527761227456e+01,9.300000000000000000e+01,2.819678527761227471e+01
9.400000000000000000e+01,1.102078527761227456e+01,9.400000000000000000e+01,2.839678527761227755e+01
9.500000000000000000e+01,1.102078527761227456e+01,9.500000000000000000e+01,2.849678527761227542e+01
9.600000000000000000e+01,1.122078527761227384e+01,9.600000000000000000e+01,2.849678527761227542e+01
9.700000000000000000e+01,1.132078527761227349e+01,9.700000000000000000e+01,2.869678527761227471e+01
9.800000000000000000e+01,1.142078527761227491e+01,9.800000000000000000e+01,2.879678527761227613e+01
9.900000000000000000e+01,1.142078527761227491e+01,9.900000000000000000e+01,2.889678527761227755e+01
1.000000000000000000e+02,1.142078527761227491e+01,1.000000000000000000e+02,2.899678527761227542e+01
1.010000000000000000e+02,1.132078527761227349e+01,1.010000000000000000e+02,2.919678527761227471e+01
1.020000000000000000e+02,1.152078527761227456e+01,1.020000000000000000e+02,2.909678527761227684e+01
1.030000000000000000e+02,1.152078527761227456e+01,1.030000000000000000e+02,2.929678527761227613e+01
1.040000000000000000e+02,1.162078527761227420e+01,1.040000000000000000e+02,2.929678527761227613e+01
1.050000000000000000e+02,1.172078527761227384e+01,1.050000000000000000e+02,2.939678527761227755e+01
1.060000000000000000e+02,1.182078527761227349e+01,1.060000000000000000e+02,2.959678527761227684e+01
1.070000000000000000e+02,1.172078527761227384e+01,1.070000000000000000e+02,2.959678527761227684e+01
1.080000000000000000e+02,1.192078527761227491e+01,1.080000000000000000e+02,2.979678527761227613e+01
1.090000000000000000e+02,1.192078527761227491e+01,1.090000000000000000e+02,2.979678527761227613e+01
1.100000000000000000e+02,1.212078527761227420e+01,1.100000000000000000e+02,2.989678527761227755e+01
1.110000000000000000e+02,1.222078527761227384e+01,1.110000000000000000e+02,2.999678527761227542e+01
1.120000000000000000e+02,1.222078527761227384e+01,1.120000000000000000e+02,3.019678527761227471e+01
1.130000000000000000e+02,1.222078527761227384e+01,1.130000000000000000e+02,3.019678527761227471e+01
1.140000000000000000e+02,1.232078527761227349e+01,1.140000000000000000e+02,3.019678527761227471e+01
1.150000000000000000e+02,1.242078527761227491e+01,1.150000000000000000e+02,3.039678527761227755e+01
1.160000000000000000e+02,1.242078527761227491e+01,1.160000000000000000e+02,3.069678527761227471e+01
1.170000000000000000e+02,1.242078527761227491e+01,1.170000000000000000e+02,3.069678527761227471e+01
1.180000000000000000e+02,1.252078527761227456e+01,1.180000000000000000e+02,3.089678527761227755e+01
1.190000000000000000e+02,1.252078527761227456e+01,1.190000000000000000e+02,3.079678527761227613e+01
1.200000000000000000e+02,1.252078527761227456e+01,1.200000000000000000e+02,3.079678527761227613e+01
1.210000000000000000e+02,1.262078527761227420e+01,1.210000000000000000e+02,3.089678527761227755e+01
1.220000000000000000e+02,1.272078527761227384e+01,1.220000000000000000e+02,3.089678527761227755e+01
1.230000000000000000e+02,1.282078527761227349e+01,1.230000000000000000e+02,3.099678527761227542e+01
1.240000000000000000e+02,1.282078527761227349e+01,1.240000000000000000e+02,3.119678527761227471e+01
1.250000000000000000e+02,1.282078527761227349e+01,1.250000000000000000e+02,3.129678527761227613e+01
1.260000000000000000e+02,1.282078527761227349e+01,1.260000000000000000e+02,3.129678527761227613e+01
1.270000000000000000e+02,1.302078527761227456e+01,1.270000000000000000e+02,3.139678527761227755e+01
1.280000000000000000e+02,1.312078527761227420e+01,1.280000000000000000e+02,3.139678527761227755e+01
1.290000000000000000e+02,1.322078527761227384e+01,1.290000000000000000e+02,3.149678527761227542e+01
1.300000000000000000e+02,1.332078527761227349e+01,1.300000000000000000e+02,3.149678527761227542e+01
1.310000000000000000e+02,1.332078527761227349e+01,1.310000000000000000e+02,3.159678527761227684e+01
1.320000000000000000e+02,1.332078527761227349e+01,1.320000000000000000e+02,3.149678527761227542e+01
1.330000000000000000e+02,1.332078527761227349e+01,1.330000000000000000e+02,3.169678527761227471e+01
1.340000000000000000e+02,1.342078527761227491e+01,1.340000000000000000e+02,3.169678527761227471e+01
1.350000000000000000e+02,1.342078527761227491e+01,1.350000000000000000e+02,3.169678527761227471e+01
1.360000000000000000e+02,1.342078527761227491e+01,1.360000000000000000e+02,3.179678527761227613e+01
1.370000000000000000e+02,1.352078527761227456e+01,1.370000000000000000e+02,3.189678527761227755e+01
1.380000000000000000e+02,1.372078527761227384e+01,1.380000000000000000e+02,3.189678527761227755e+01
1.390000000000000000e+02,1.362078527761227420e+01,1.390000000000000000e+02,3.209678527761227684e+01
1.400000000000000000e+02,1.392078527761227491e+01,1.400000000000000000e+02,3.209678527761227684e+01
1.410000000000000000e+02,1.382078527761227349e+01,1.410000000000000000e+02,3.209678527761227684e+01
1.420000000000000000e+02,1.392078527761227491e+01,1.420000000000000000e+02,3.209678527761227684e+01
1.430000000000000000e+02,1.382078527761227349e+01,1.430000000000000000e+02,3.219678527761227116e+01
1.440000000000000000e+02,1.402078527761227456e+01,1.440000000000000000e+02,3.219678527761227116e+01
1.450000000000000000e+02,1.402078527761227456e+01,1.450000000000000000e+02,3.229678527761227258e+01
1.550000000000000000e+02,1.382078527761227349e+01,1.550000000000000000e+02,3.139678527761227755e+01
1.560000000000000000e+02,1.372078527761227384e+01,1.560000000000000000e+02,3.109678527761227684e+01
1.570000000000000000e+02,1.372078527761227384e+01,1.570000000000000000e+02,3.069678527761227471e+01
1.580000000000000000e+02,1.372078527761227384e+01,1.580000000000000000e+02,3.059678527761227684e+01
1.590000000000000000e+02,1.362078527761227420e+01,1.590000000000000000e+02,3.039678527761227755e+01
1.600000000000000000e+02,1.362078527761227420e+01,1.600000000000000000e+02,3.019678527761227471e+01
1.610000000000000000e+02,1.352078527761227456e+01,1.610000000000000000e+02,3.009678527761227684e+01
1.620000000000000000e+02,1.342078527761227491e+01,1.620000000000000000e+02,2.979678527761227613e+01
1.630000000000000000e+02,1.342078527761227491e+01,1.630000000000000000e+02,2.969678527761227471e+01
1.640000000000000000e+02,1.322078527761227384e+01,1.640000000000000000e+02,2.939678527761227755e+01
1.650000000000000000e+02,1.312078527761227420e+01,1.650000000000000000e+02,2.929678527761227613e+01
1.660000000000000000e+02,1.312078527761227420e+01,1.660000000000000000e+02,2.919678527761227471e+01
1.670000000000000000e+02,1.312078527761227420e+01,1.670000000000000000e+02,2.899678527761227542e+01
1.680000000000000000e+02,1.292078527761227491e+01,1.680000000000000000e+02,2.889678527761227755e+01
1.690000000000000000e+02,1.302078527761227456e+01,1.690000000000000000e+02,2.869678527761227471e+01
1.700000000000000000e+02,1.292078527761227491e+01,1.700000000000000000e+02,2.849678527761227542e+01
1.710000000000000000e+02,1.292078527761227491e+01,1.710000000000000000e+02,2.849678527761227542e+01
1.720000000000000000e+02,1.282078527761227349e+01,1.720000000000000000e+02,2.809678527761227684e+01
1.730000000000000000e+02,1.282078527761227349e+01,1.730000000000000000e+02,2.799678527761227542e+01
1.740000000000000000e+02,1.272078527761227384e+01,1.740000000000000000e+02,2.769678527761227471e+01
