time (s), 25.00000, time (s), 100.000000
5.000000000000000000e+00,6.945487167705027831e-01,5.000000000000000000e+00,2.598548716770502587e+00
6.000000000000000000e+00,7.945487167705027609e-01,6.000000000000000000e+00,3.398548716770502853e+00
7.000000000000000000e+00,8.945487167705028497e-01,7.000000000000000000e+00,3.898548716770502409e+00
8.000000000000000000e+00,1.094548716770502805e+00,8.000000000000000000e+00,4.398548716770502409e+00
9.000000000000000000e+00,1.294548716770502761e+00,9.000000000000000000e+00,4.898548716770502409e+00
1.000000000000000000e+01,1.294548716770502761e+00,1.000000000000000000e+01,5.298548716770502764e+00
1.100000000000000000e+01,1.394548716770502850e+00,1.100000000000000000e+01,5.998548716770502942e+00
1.200000000000000000e+01,1.594548716770502805e+00,1.200000000000000000e+01,6.498548716770502942e+00
1.300000000000000000e+01,1.994548716770502939e+00,1.300000000000000000e+01,6.998548716770502942e+00
1.400000000000000000e+01,1.994548716770502939e+00,1.400000000000000000e+01,7.498548716770502942e+00
1.500000000000000000e+01,2.094548716770502583e+00,1.500000000000000000e+01,7.698548716770503120e+00
1.600000000000000000e+01,2.394548716770502850e+00,1.600000000000000000e+01,8.298548716770502764e+00
1.700000000000000000e+01,2.494548716770502939e+00,1.700000000000000000e+01,8.798548716770502764e+00
1.800000000000000000e+01,2.794548716770502761e+00,1.800000000000000000e+01,8.998548716770503830e+00
1.900000000000000000e+01,2.794548716770502761e+00,1.900000000000000000e+01,9.598548716770503475e+00
2.000000000000000000e+01,3.094548716770502583e+00,2.000000000000000000e+01,9.898548716770504186e+00
2.100000000000000000e+01,2.994548716770502939e+00,2.100000000000000000e+01,1.039854871677050419e+01
2.200000000000000000e+01,3.194548716770502672e+00,2.200000000000000000e+01,1.079854871677050276e+01
2.300000000000000000e+01,3.194548716770502672e+00,2.300000000000000000e+01,1.119854871677050312e+01
2.400000000000000000e+01,3.194548716770502672e+00,2.400000000000000000e+01,1.149854871677050383e+01
2.500000000000000000e+01,3.494548716770502939e+00,2.500000000000000000e+01,1.169854871677050312e+01
2.600000000000000000e+01,3.494548716770502939e+00,2.600000000000000000e+01,1.239854871677050419e+01
2.700000000000000000e+01,3.694548716770502672e+00,2.700000000000000000e+01,1.259854871677050348e+01
2.800000000000000000e+01,3.794548716770502317e+00,2.800000000000000000e+01,1.299854871677050383e+01
2.900000000000000000e+01,3.994548716770502494e+00,2.900000000000000000e+01,1.339854871677050419e+01
3.000000000000000000e+01,3.994548716770502494e+00,3.000000000000000000e+01,1.359854871677050348e+01
3.100000000000000000e+01,4.194548716770502672e+00,3.100000000000000000e+01,1.389854871677050419e+01
3.200000000000000000e+01,4.294548716770502317e+00,3.200000000000000000e+01,1.409854871677050348e+01
3.300000000000000000e+01,4.394548716770502850e+00,3.300000000000000000e+01,1.439854871677050419e+01
3.400000000000000000e+01,4.394548716770502850e+00,3.400000000000000000e+01,1.479854871677050276e+01
3.500000000000000000e+01,4.494548716770502494e+00,3.500000000000000000e+01,1.509854871677050348e+01
3.600000000000000000e+01,4.694548716770502672e+00,3.600000000000000000e+01,1.529854871677050276e+01
3.700000000000000000e+01,4.694548716770502672e+00,3.700000000000000000e+01,1.539854871677050419e+01
3.800000000000000000e+01,4.794548716770502317e+00,3.800000000000000000e+01,1.599854871677050383e+01
3.900000000000000000e+01,4.994548716770502494e+00,3.900000000000000000e+01,1.629854871677050454e+01
4.000000000000000000e+01,5.094548716770503027e+00,4.000000000000000000e+01,1.639854871677050241e+01
4.100000000000000000e+01,5.194548716770502672e+00,4.100000000000000000e+01,1.669854871677050312e+01
4.200000000000000000e+01,5.294548716770502317e+00,4.200000000000000000e+01,1.709854871677050525e+01
4.300000000000000000e+01,5.294548716770502317e+00,4.300000000000000000e+01,1.739854871677050241e+01
4.400000000000000000e+01,5.394548716770502850e+00,4.400000000000000000e+01,1.779854871677050454e+01
4.500000000000000000e+01,5.494548716770502494e+00,4.500000000000000000e+01,1.789854871677050241e+01
4.600000000000000000e+01,5.694548716770502672e+00,4.600000000000000000e+01,1.809854871677050525e+01
4.700000000000000000e+01,5.694548716770502672e+00,4.700000000000000000e+01,1.819854871677050312e+01
4.800000000000000000e+01,5.794548716770502317e+00,4.800000000000000000e+01,1.839854871677050241e+01
4.900000000000000000e+01,5.794548716770502317e+00,4.900000000000000000e+01,1.849854871677050383e+01
5.000000000000000000e+01,5.994548716770502494e+00,5.000000000000000000e+01,1.869854871677050312e+01
5.100000000000000000e+01,5.994548716770502494e+00,5.100000000000000000e+01,1.899854871677050383e+01
5.200000000000000000e+01,5.994548716770502494e+00,5.200000000000000000e+01,1.909854871677050525e+01
5.300000000000000000e+01,6.194548716770502672e+00,5.300000000000000000e+01,1.939854871677050241e+01
5.400000000000000000e+01,6.294548716770502317e+00,5.400000000000000000e+01,1.959854871677050525e+01
