time (s), 25.000000,time (s), 100.000000
5.000000000000000000e+00,1.334444452967437078e+00,5.000000000000000000e+00,4.207444452967436632e+00
6.000000000000000000e+00,1.434444452967436945e+00,6.000000000000000000e+00,5.107444452967436987e+00
7.000000000000000000e+00,1.634444452967437122e+00,7.000000000000000000e+00,6.007444452967437343e+00
8.000000000000000000e+00,1.834444452967437078e+00,8.000000000000000000e+00,6.807444452967437165e+00
9.000000000000000000e+00,2.234444452967437211e+00,9.000000000000000000e+00,7.507444452967437343e+00
1.000000000000000000e+01,2.234444452967437211e+00,1.000000000000000000e+01,8.207444452967436632e+00
1.100000000000000000e+01,2.534444452967437034e+00,1.100000000000000000e+01,8.807444452967438053e+00
1.200000000000000000e+01,2.934444452967436945e+00,1.200000000000000000e+01,9.507444452967437343e+00
1.300000000000000000e+01,2.934444452967436945e+00,1.300000000000000000e+01,1.010744445296743699e+01
1.400000000000000000e+01,3.434444452967436945e+00,1.400000000000000000e+01,1.050744445296743734e+01
1.500000000000000000e+01,3.434444452967436945e+00,1.500000000000000000e+01,1.100744445296743734e+01
1.600000000000000000e+01,3.634444452967437122e+00,1.600000000000000000e+01,1.160744445296743876e+01
1.700000000000000000e+01,4.034444452967436590e+00,1.700000000000000000e+01,1.220744445296743663e+01
1.800000000000000000e+01,4.234444452967436767e+00,1.800000000000000000e+01,1.270744445296743663e+01
1.900000000000000000e+01,4.434444452967436945e+00,1.900000000000000000e+01,1.330744445296743805e+01
2.000000000000000000e+01,4.434444452967436945e+00,2.000000000000000000e+01,1.370744445296743663e+01
2.100000000000000000e+01,4.734444452967437655e+00,2.100000000000000000e+01,1.420744445296743663e+01
2.200000000000000000e+01,4.934444452967436945e+00,2.200000000000000000e+01,1.460744445296743876e+01
2.300000000000000000e+01,4.934444452967436945e+00,2.300000000000000000e+01,1.510744445296743876e+01
2.400000000000000000e+01,5.134444452967437122e+00,2.400000000000000000e+01,1.570744445296743663e+01
2.500000000000000000e+01,5.234444452967437655e+00,2.500000000000000000e+01,1.590744445296743592e+01
2.600000000000000000e+01,5.434444452967436945e+00,2.600000000000000000e+01,1.620744445296743663e+01
2.700000000000000000e+01,5.634444452967437122e+00,2.700000000000000000e+01,1.650744445296743734e+01
2.800000000000000000e+01,5.634444452967437122e+00,2.800000000000000000e+01,1.710744445296743876e+01
2.900000000000000000e+01,5.834444452967437300e+00,2.900000000000000000e+01,1.740744445296743592e+01
3.000000000000000000e+01,5.934444452967436945e+00,3.000000000000000000e+01,1.770744445296743663e+01
3.100000000000000000e+01,6.134444452967437122e+00,3.100000000000000000e+01,1.800744445296743734e+01
3.200000000000000000e+01,6.334444452967437300e+00,3.200000000000000000e+01,1.860744445296743521e+01
3.300000000000000000e+01,6.334444452967437300e+00,3.300000000000000000e+01,1.880744445296743450e+01
3.400000000000000000e+01,6.634444452967437122e+00,3.400000000000000000e+01,1.930744445296743450e+01
3.500000000000000000e+01,6.734444452967436767e+00,3.500000000000000000e+01,1.960744445296743521e+01
3.600000000000000000e+01,6.934444452967436945e+00,3.600000000000000000e+01,1.970744445296743663e+01
3.700000000000000000e+01,6.934444452967436945e+00,3.700000000000000000e+01,2.010744445296743521e+01
3.800000000000000000e+01,7.134444452967437122e+00,3.800000000000000000e+01,2.040744445296743592e+01
3.900000000000000000e+01,7.434444452967436945e+00,3.900000000000000000e+01,2.080744445296743450e+01
4.000000000000000000e+01,7.434444452967436945e+00,4.000000000000000000e+01,2.110744445296743521e+01
4.100000000000000000e+01,7.634444452967437122e+00,4.100000000000000000e+01,2.160744445296743521e+01
4.200000000000000000e+01,7.734444452967436767e+00,4.200000000000000000e+01,2.160744445296743521e+01
4.300000000000000000e+01,7.834444452967437300e+00,4.300000000000000000e+01,2.190744445296743592e+01
4.400000000000000000e+01,7.934444452967436945e+00,4.400000000000000000e+01,2.220744445296743663e+01
4.500000000000000000e+01,8.034444452967438366e+00,4.500000000000000000e+01,2.240744445296743592e+01
4.600000000000000000e+01,8.134444452967436234e+00,4.600000000000000000e+01,2.260744445296743521e+01
4.700000000000000000e+01,8.334444452967437300e+00,4.700000000000000000e+01,2.300744445296743734e+01
4.800000000000000000e+01,8.334444452967437300e+00,4.800000000000000000e+01,2.320744445296743663e+01
4.900000000000000000e+01,8.634444452967436234e+00,4.900000000000000000e+01,2.360744445296743521e+01
5.000000000000000000e+01,8.534444452967438366e+00,5.000000000000000000e+01,2.370744445296743663e+01
5.100000000000000000e+01,8.634444452967436234e+00,5.100000000000000000e+01,2.400744445296743734e+01
5.200000000000000000e+01,8.834444452967437300e+00,5.200000000000000000e+01,2.400744445296743734e+01
5.300000000000000000e+01,8.934444452967436945e+00,5.300000000000000000e+01,2.430744445296743450e+01
5.400000000000000000e+01,8.934444452967436945e+00,5.400000000000000000e+01,2.470744445296743663e+01
5.500000000000000000e+01,9.134444452967436234e+00,5.500000000000000000e+01,2.490744445296743592e+01
5.600000000000000000e+01,9.034444452967438366e+00,5.600000000000000000e+01,2.500744445296743734e+01
5.700000000000000000e+01,9.134444452967436234e+00,5.700000000000000000e+01,2.510744445296743521e+01
5.800000000000000000e+01,9.434444452967436945e+00,5.800000000000000000e+01,2.540744445296743592e+01
5.900000000000000000e+01,9.434444452967436945e+00,5.900000000000000000e+01,2.560744445296743521e+01
6.000000000000000000e+01,9.734444452967437655e+00,6.000000000000000000e+01,2.580744445296743450e+01
6.100000000000000000e+01,9.734444452967437655e+00,6.100000000000000000e+01,2.600744445296743734e+01
6.200000000000000000e+01,9.834444452967437300e+00,6.200000000000000000e+01,2.620744445296743663e+01
6.300000000000000000e+01,1.003444445296743837e+01,6.300000000000000000e+01,2.630744445296743450e+01
6.400000000000000000e+01,1.013444445296743623e+01,6.400000000000000000e+01,2.660744445296743521e+01
6.500000000000000000e+01,1.023444445296743766e+01,6.500000000000000000e+01,2.670744445296743663e+01
6.600000000000000000e+01,1.033444445296743552e+01,6.600000000000000000e+01,2.690744445296743592e+01
6.700000000000000000e+01,1.053444445296743837e+01,6.700000000000000000e+01,2.700744445296743734e+01
6.800000000000000000e+01,1.063444445296743623e+01,6.800000000000000000e+01,2.720744445296743663e+01
6.900000000000000000e+01,1.063444445296743623e+01,6.900000000000000000e+01,2.750744445296743734e+01
7.000000000000000000e+01,1.073444445296743766e+01,7.000000000000000000e+01,2.770744445296743663e+01
7.100000000000000000e+01,1.083444445296743552e+01,7.100000000000000000e+01,2.800744445296743734e+01
7.200000000000000000e+01,1.093444445296743694e+01,7.200000000000000000e+01,2.810744445296743521e+01
7.300000000000000000e+01,1.103444445296743837e+01,7.300000000000000000e+01,2.820744445296743663e+01
7.400000000000000000e+01,1.113444445296743623e+01,7.400000000000000000e+01,2.840744445296743592e+01
7.500000000000000000e+01,1.123444445296743766e+01,7.500000000000000000e+01,2.870744445296743663e+01
7.600000000000000000e+01,1.133444445296743552e+01,7.600000000000000000e+01,2.880744445296743450e+01
7.700000000000000000e+01,1.143444445296743694e+01,7.700000000000000000e+01,2.890744445296743592e+01
7.800000000000000000e+01,1.153444445296743837e+01,7.800000000000000000e+01,2.900744445296743734e+01
7.900000000000000000e+01,1.163444445296743623e+01,7.900000000000000000e+01,2.930744445296743450e+01
8.000000000000000000e+01,1.173444445296743766e+01,8.000000000000000000e+01,2.950744445296743734e+01
8.100000000000000000e+01,1.183444445296743552e+01,8.100000000000000000e+01,2.970744445296743663e+01
8.200000000000000000e+01,1.193444445296743694e+01,8.200000000000000000e+01,2.990744445296743592e+01
8.300000000000000000e+01,1.203444445296743837e+01,8.300000000000000000e+01,2.980744445296743450e+01
8.400000000000000000e+01,1.213444445296743623e+01,8.400000000000000000e+01,3.000744445296743734e+01
8.500000000000000000e+01,1.223444445296743766e+01,8.500000000000000000e+01,3.020744445296743663e+01
8.600000000000000000e+01,1.223444445296743766e+01,8.600000000000000000e+01,3.030744445296743450e+01
8.700000000000000000e+01,1.233444445296743552e+01,8.700000000000000000e+01,3.050744445296743734e+01
8.800000000000000000e+01,1.243444445296743694e+01,8.800000000000000000e+01,3.060744445296743521e+01
8.900000000000000000e+01,1.243444445296743694e+01,8.900000000000000000e+01,3.070744445296743663e+01
9.000000000000000000e+01,1.253444445296743837e+01,9.000000000000000000e+01,3.080744445296743450e+01
9.100000000000000000e+01,1.253444445296743837e+01,9.100000000000000000e+01,3.080744445296743450e+01
9.200000000000000000e+01,1.263444445296743623e+01,9.200000000000000000e+01,3.100744445296743734e+01
9.300000000000000000e+01,1.283444445296743552e+01,9.300000000000000000e+01,3.110744445296743521e+01
9.400000000000000000e+01,1.273444445296743766e+01,9.400000000000000000e+01,3.120744445296743663e+01
9.500000000000000000e+01,1.273444445296743766e+01,9.500000000000000000e+01,3.130744445296743450e+01
9.600000000000000000e+01,1.293444445296743694e+01,9.600000000000000000e+01,3.140744445296743592e+01
9.700000000000000000e+01,1.293444445296743694e+01,9.700000000000000000e+01,3.140744445296743592e+01
9.800000000000000000e+01,1.303444445296743837e+01,9.800000000000000000e+01,3.170744445296743663e+01
9.900000000000000000e+01,1.323444445296743766e+01,9.900000000000000000e+01,3.170744445296743663e+01
1.000000000000000000e+02,1.333444445296743552e+01,1.000000000000000000e+02,3.180744445296743450e+01
1.010000000000000000e+02,1.323444445296743766e+01,1.010000000000000000e+02,3.210744445296743521e+01
1.020000000000000000e+02,1.333444445296743552e+01,1.020000000000000000e+02,3.200744445296744090e+01
1.030000000000000000e+02,1.343444445296743694e+01,1.030000000000000000e+02,3.220744445296743663e+01
1.040000000000000000e+02,1.353444445296743837e+01,1.040000000000000000e+02,3.220744445296743663e+01
1.050000000000000000e+02,1.363444445296743623e+01,1.050000000000000000e+02,3.230744445296743805e+01
1.060000000000000000e+02,1.363444445296743623e+01,1.060000000000000000e+02,3.230744445296743805e+01
1.070000000000000000e+02,1.363444445296743623e+01,1.070000000000000000e+02,3.250744445296744090e+01
1.080000000000000000e+02,1.373444445296743766e+01,1.080000000000000000e+02,3.270744445296743663e+01
1.090000000000000000e+02,1.373444445296743766e+01,1.090000000000000000e+02,3.260744445296743521e+01
1.100000000000000000e+02,1.373444445296743766e+01,1.100000000000000000e+02,3.280744445296743805e+01
1.110000000000000000e+02,1.393444445296743694e+01,1.110000000000000000e+02,3.300744445296744090e+01
1.120000000000000000e+02,1.403444445296743837e+01,1.120000000000000000e+02,3.310744445296743521e+01
1.130000000000000000e+02,1.413444445296743623e+01,1.130000000000000000e+02,3.320744445296743663e+01
1.140000000000000000e+02,1.413444445296743623e+01,1.140000000000000000e+02,3.320744445296743663e+01
1.150000000000000000e+02,1.433444445296743552e+01,1.150000000000000000e+02,3.340744445296743947e+01
1.160000000000000000e+02,1.433444445296743552e+01,1.160000000000000000e+02,3.340744445296743947e+01
1.170000000000000000e+02,1.423444445296743766e+01,1.170000000000000000e+02,3.360744445296743521e+01
1.180000000000000000e+02,1.443444445296743694e+01,1.180000000000000000e+02,3.360744445296743521e+01
1.190000000000000000e+02,1.443444445296743694e+01,1.190000000000000000e+02,3.380744445296743805e+01
1.200000000000000000e+02,1.443444445296743694e+01,1.200000000000000000e+02,3.380744445296743805e+01
1.210000000000000000e+02,1.453444445296743837e+01,1.210000000000000000e+02,3.390744445296743947e+01
1.220000000000000000e+02,1.463444445296743623e+01,1.220000000000000000e+02,3.380744445296743805e+01
1.230000000000000000e+02,1.463444445296743623e+01,1.230000000000000000e+02,3.400744445296744090e+01
1.240000000000000000e+02,1.483444445296743552e+01,1.240000000000000000e+02,3.400744445296744090e+01
1.250000000000000000e+02,1.473444445296743766e+01,1.250000000000000000e+02,3.420744445296743663e+01
1.260000000000000000e+02,1.493444445296743694e+01,1.260000000000000000e+02,3.430744445296743805e+01
