time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
5.000000000000000000e+00,3.312763732645703785e-01,5.000000000000000000e+00,7.092763732645703811e-01,5.000000000000000000e+00,1.407276373264570335e+00,5.000000000000000000e+00,1.956276373264570267e+00,5.000000000000000000e+00,3.972276373264570282e+00,5.000000000000000000e+00,7.444276373264569813e+00
6.000000000000000000e+00,7.312763732645702897e-01,6.000000000000000000e+00,1.009276373264570204e+00,6.000000000000000000e+00,1.707276373264570379e+00,6.000000000000000000e+00,2.456276373264570267e+00,6.000000000000000000e+00,4.672276373264570459e+00,6.000000000000000000e+00,8.644276373264570879e+00
7.000000000000000000e+00,6.312763732645703119e-01,7.000000000000000000e+00,1.009276373264570204e+00,7.000000000000000000e+00,1.707276373264570379e+00,7.000000000000000000e+00,2.856276373264570623e+00,7.000000000000000000e+00,5.272276373264570992e+00,7.000000000000000000e+00,9.844276373264570168e+00
8.000000000000000000e+00,8.312763732645702675e-01,8.000000000000000000e+00,1.009276373264570204e+00,8.000000000000000000e+00,2.007276373264570424e+00,8.000000000000000000e+00,3.356276373264570179e+00,8.000000000000000000e+00,6.272276373264570992e+00,8.000000000000000000e+00,1.114427637326457088e+01
9.000000000000000000e+00,9.312763732645703563e-01,9.000000000000000000e+00,1.009276373264570204e+00,9.000000000000000000e+00,2.407276373264570335e+00,9.000000000000000000e+00,3.856276373264570179e+00,9.000000000000000000e+00,6.772276373264570992e+00,9.000000000000000000e+00,1.224427637326457052e+01
1.000000000000000000e+01,8.312763732645702675e-01,1.000000000000000000e+01,1.009276373264570204e+00,1.000000000000000000e+01,2.507276373264570424e+00,1.000000000000000000e+01,3.956276373264570267e+00,1.000000000000000000e+01,7.472276373264570282e+00,1.000000000000000000e+01,1.324427637326457052e+01
1.100000000000000000e+01,1.231276373264570401e+00,1.100000000000000000e+01,1.609276373264570292e+00,1.100000000000000000e+01,2.707276373264570601e+00,1.100000000000000000e+01,4.356276373264570623e+00,1.100000000000000000e+01,8.172276373264569571e+00,1.100000000000000000e+01,1.444427637326457159e+01
1.200000000000000000e+01,1.131276373264570312e+00,1.200000000000000000e+01,1.509276373264570426e+00,1.200000000000000000e+01,3.007276373264570424e+00,1.200000000000000000e+01,4.656276373264570445e+00,1.200000000000000000e+01,8.772276373264570992e+00,1.200000000000000000e+01,1.544427637326457159e+01
1.300000000000000000e+01,1.231276373264570401e+00,1.300000000000000000e+01,1.709276373264570381e+00,1.300000000000000000e+01,3.107276373264570068e+00,1.300000000000000000e+01,5.056276373264569912e+00,1.300000000000000000e+01,9.472276373264570282e+00,1.300000000000000000e+01,1.644427637326457159e+01
1.400000000000000000e+01,1.231276373264570401e+00,1.400000000000000000e+01,1.909276373264570337e+00,1.400000000000000000e+01,3.607276373264570513e+00,1.400000000000000000e+01,5.356276373264570623e+00,1.400000000000000000e+01,1.007227637326456993e+01,1.400000000000000000e+01,1.734427637326457017e+01
1.500000000000000000e+01,1.531276373264570445e+00,1.500000000000000000e+01,2.309276373264570026e+00,1.500000000000000000e+01,3.607276373264570513e+00,1.500000000000000000e+01,5.756276373264570978e+00,1.500000000000000000e+01,1.047227637326457028e+01,1.500000000000000000e+01,1.824427637326456875e+01
1.600000000000000000e+01,1.531276373264570445e+00,1.600000000000000000e+01,2.309276373264570026e+00,1.600000000000000000e+01,3.807276373264570246e+00,1.600000000000000000e+01,6.156276373264569557e+00,1.600000000000000000e+01,1.137227637326457064e+01,1.600000000000000000e+01,1.924427637326456875e+01
1.700000000000000000e+01,1.531276373264570445e+00,1.700000000000000000e+01,2.309276373264570026e+00,1.700000000000000000e+01,4.207276373264569713e+00,1.700000000000000000e+01,6.356276373264570623e+00,1.700000000000000000e+01,1.177227637326457099e+01,1.700000000000000000e+01,2.014427637326456733e+01
1.800000000000000000e+01,1.631276373264570312e+00,1.800000000000000000e+01,2.509276373264570204e+00,1.800000000000000000e+01,4.307276373264570246e+00,1.800000000000000000e+01,6.856276373264570623e+00,1.800000000000000000e+01,1.217227637326457135e+01,1.800000000000000000e+01,2.074427637326456875e+01
1.900000000000000000e+01,1.731276373264570401e+00,1.900000000000000000e+01,2.709276373264570381e+00,1.900000000000000000e+01,4.307276373264570246e+00,1.900000000000000000e+01,7.056276373264569912e+00,1.900000000000000000e+01,1.267227637326457135e+01,1.900000000000000000e+01,2.154427637326456946e+01
2.000000000000000000e+01,1.731276373264570401e+00,2.000000000000000000e+01,3.009276373264570204e+00,2.000000000000000000e+01,4.607276373264570068e+00,2.000000000000000000e+01,7.556276373264569912e+00,2.000000000000000000e+01,1.337227637326457064e+01,2.000000000000000000e+01,2.234427637326457017e+01
2.100000000000000000e+01,1.731276373264570401e+00,2.100000000000000000e+01,2.909276373264570559e+00,2.100000000000000000e+01,4.707276373264569713e+00,2.100000000000000000e+01,7.956276373264570267e+00,2.100000000000000000e+01,1.387227637326457064e+01,2.100000000000000000e+01,2.304427637326456946e+01
2.200000000000000000e+01,1.931276373264570356e+00,2.200000000000000000e+01,3.109276373264570292e+00,2.200000000000000000e+01,4.907276373264570779e+00,2.200000000000000000e+01,8.156276373264569557e+00,2.200000000000000000e+01,1.447227637326457028e+01,2.200000000000000000e+01,2.394427637326456804e+01
2.300000000000000000e+01,1.931276373264570356e+00,2.300000000000000000e+01,3.209276373264570381e+00,2.300000000000000000e+01,5.207276373264569713e+00,2.300000000000000000e+01,8.656276373264569557e+00,2.300000000000000000e+01,1.497227637326457028e+01,2.300000000000000000e+01,2.464427637326456733e+01
2.400000000000000000e+01,2.031276373264570445e+00,2.400000000000000000e+01,3.409276373264570115e+00,2.400000000000000000e+01,5.307276373264571134e+00,2.400000000000000000e+01,8.856276373264570623e+00,2.400000000000000000e+01,1.537227637326457064e+01,2.400000000000000000e+01,2.534427637326457017e+01
2.500000000000000000e+01,2.031276373264570445e+00,2.500000000000000000e+01,3.509276373264570204e+00,2.500000000000000000e+01,5.207276373264569713e+00,2.500000000000000000e+01,8.956276373264570267e+00,2.500000000000000000e+01,1.597227637326457028e+01,2.500000000000000000e+01,2.614427637326456733e+01
2.600000000000000000e+01,2.231276373264570179e+00,2.600000000000000000e+01,3.609276373264570292e+00,2.600000000000000000e+01,5.507276373264570424e+00,2.600000000000000000e+01,9.256276373264570978e+00,2.600000000000000000e+01,1.657227637326456815e+01,2.600000000000000000e+01,2.694427637326456804e+01
2.700000000000000000e+01,2.131276373264570090e+00,2.700000000000000000e+01,3.709276373264570381e+00,2.700000000000000000e+01,5.707276373264569713e+00,2.700000000000000000e+01,9.456276373264570267e+00,2.700000000000000000e+01,1.697227637326457028e+01,2.700000000000000000e+01,2.754427637326456946e+01
2.800000000000000000e+01,2.331276373264570267e+00,2.800000000000000000e+01,3.909276373264570115e+00,2.800000000000000000e+01,5.907276373264570779e+00,2.800000000000000000e+01,9.956276373264570267e+00,2.800000000000000000e+01,1.737227637326456886e+01,2.800000000000000000e+01,2.804427637326456946e+01
2.900000000000000000e+01,2.431276373264570356e+00,2.900000000000000000e+01,3.809276373264570470e+00,2.900000000000000000e+01,6.107276373264570068e+00,2.900000000000000000e+01,1.015627637326457133e+01,2.900000000000000000e+01,1.777227637326456744e+01,2.900000000000000000e+01,2.854427637326456946e+01
3.000000000000000000e+01,2.331276373264570267e+00,3.000000000000000000e+01,3.909276373264570115e+00,3.000000000000000000e+01,6.207276373264569713e+00,3.000000000000000000e+01,1.055627637326456991e+01,3.000000000000000000e+01,1.817227637326456957e+01,3.000000000000000000e+01,2.914427637326456733e+01
3.100000000000000000e+01,2.531276373264570445e+00,3.100000000000000000e+01,4.309276373264570026e+00,3.100000000000000000e+01,6.307276373264571134e+00,3.100000000000000000e+01,1.075627637326457098e+01,3.100000000000000000e+01,1.867227637326456957e+01,3.100000000000000000e+01,2.954427637326456946e+01
3.200000000000000000e+01,2.631276373264570090e+00,3.200000000000000000e+01,4.309276373264570026e+00,3.200000000000000000e+01,6.507276373264570424e+00,3.200000000000000000e+01,1.105627637326456991e+01,3.200000000000000000e+01,1.907227637326456815e+01,3.200000000000000000e+01,3.024427637326456875e+01
3.300000000000000000e+01,2.631276373264570090e+00,3.300000000000000000e+01,4.309276373264570026e+00,3.300000000000000000e+01,6.607276373264570068e+00,3.300000000000000000e+01,1.135627637326457062e+01,3.300000000000000000e+01,1.977227637326456744e+01,3.300000000000000000e+01,3.104427637326456946e+01
3.400000000000000000e+01,2.831276373264570267e+00,3.400000000000000000e+01,4.509276373264570204e+00,3.400000000000000000e+01,7.007276373264570424e+00,3.400000000000000000e+01,1.175627637326457098e+01,3.400000000000000000e+01,1.997227637326457028e+01,3.400000000000000000e+01,3.144427637326456804e+01
3.500000000000000000e+01,2.731276373264570623e+00,3.500000000000000000e+01,4.509276373264570204e+00,3.500000000000000000e+01,7.107276373264570068e+00,3.500000000000000000e+01,1.205627637326456991e+01,3.500000000000000000e+01,2.037227637326456886e+01,3.500000000000000000e+01,3.194427637326456804e+01
3.600000000000000000e+01,2.831276373264570267e+00,3.600000000000000000e+01,4.609276373264570736e+00,3.600000000000000000e+01,7.607276373264570068e+00,3.600000000000000000e+01,1.255627637326456991e+01,3.600000000000000000e+01,2.087227637326456886e+01,3.600000000000000000e+01,3.244427637326457159e+01
3.700000000000000000e+01,2.831276373264570267e+00,3.700000000000000000e+01,4.609276373264570736e+00,3.700000000000000000e+01,7.607276373264570068e+00,3.700000000000000000e+01,1.265627637326457133e+01,3.700000000000000000e+01,2.107227637326456815e+01,3.700000000000000000e+01,3.304427637326457301e+01
3.800000000000000000e+01,3.031276373264570445e+00,3.800000000000000000e+01,4.809276373264570026e+00,3.800000000000000000e+01,7.807276373264571134e+00,3.800000000000000000e+01,1.295627637326457027e+01,3.800000000000000000e+01,2.157227637326456815e+01,3.800000000000000000e+01,3.344427637326457159e+01
3.900000000000000000e+01,3.031276373264570445e+00,3.900000000000000000e+01,4.909276373264569671e+00,3.900000000000000000e+01,7.907276373264570779e+00,3.900000000000000000e+01,1.325627637326457098e+01,3.900000000000000000e+01,2.197227637326457028e+01,3.900000000000000000e+01,3.394427637326457159e+01
4.000000000000000000e+01,3.131276373264570090e+00,4.000000000000000000e+01,5.009276373264570204e+00,4.000000000000000000e+01,8.107276373264570068e+00,4.000000000000000000e+01,1.365627637326457133e+01,4.000000000000000000e+01,2.227227637326456744e+01,4.000000000000000000e+01,3.444427637326457159e+01
4.100000000000000000e+01,3.131276373264570090e+00,4.100000000000000000e+01,5.109276373264570736e+00,4.100000000000000000e+01,8.007276373264570424e+00,4.100000000000000000e+01,1.355627637326456991e+01,4.100000000000000000e+01,2.287227637326456886e+01,4.100000000000000000e+01,3.484427637326457017e+01
4.200000000000000000e+01,3.131276373264570090e+00,4.200000000000000000e+01,5.209276373264570381e+00,4.200000000000000000e+01,8.307276373264571134e+00,4.200000000000000000e+01,1.395627637326457027e+01,4.200000000000000000e+01,2.337227637326456886e+01,4.200000000000000000e+01,3.554427637326457301e+01
4.300000000000000000e+01,3.131276373264570090e+00,4.300000000000000000e+01,5.309276373264570026e+00,4.300000000000000000e+01,8.507276373264570424e+00,4.300000000000000000e+01,1.425627637326457098e+01,4.300000000000000000e+01,2.357227637326456815e+01,4.300000000000000000e+01,3.574427637326457585e+01
4.400000000000000000e+01,3.231276373264570623e+00,4.400000000000000000e+01,5.309276373264570026e+00,4.400000000000000000e+01,8.707276373264569713e+00,4.400000000000000000e+01,1.445627637326457027e+01,4.400000000000000000e+01,2.387227637326456886e+01,4.400000000000000000e+01,3.614427637326457443e+01
4.500000000000000000e+01,3.531276373264570445e+00,4.500000000000000000e+01,5.509276373264571092e+00,4.500000000000000000e+01,9.007276373264570424e+00,4.500000000000000000e+01,1.475627637326457098e+01,4.500000000000000000e+01,2.437227637326456886e+01,4.500000000000000000e+01,3.664427637326457443e+01
4.600000000000000000e+01,3.431276373264570356e+00,4.600000000000000000e+01,5.409276373264569671e+00,4.600000000000000000e+01,9.107276373264570068e+00,4.600000000000000000e+01,1.495627637326457027e+01,4.600000000000000000e+01,2.457227637326456815e+01,4.600000000000000000e+01,3.704427637326457301e+01
4.700000000000000000e+01,3.231276373264570623e+00,4.700000000000000000e+01,5.509276373264571092e+00,4.700000000000000000e+01,9.007276373264570424e+00,4.700000000000000000e+01,1.525627637326457098e+01,4.700000000000000000e+01,2.487227637326456886e+01,4.700000000000000000e+01,3.754427637326457301e+01
4.800000000000000000e+01,3.331276373264570267e+00,4.800000000000000000e+01,5.609276373264570736e+00,4.800000000000000000e+01,9.207276373264569713e+00,4.800000000000000000e+01,1.545627637326457027e+01,4.800000000000000000e+01,2.517227637326456957e+01,4.800000000000000000e+01,3.774427637326457585e+01
4.900000000000000000e+01,3.431276373264570356e+00,4.900000000000000000e+01,5.709276373264570381e+00,4.900000000000000000e+01,9.407276373264570779e+00,4.900000000000000000e+01,1.565627637326457133e+01,4.900000000000000000e+01,2.547227637326457028e+01,4.900000000000000000e+01,3.814427637326457443e+01
5.000000000000000000e+01,3.631276373264570534e+00,5.000000000000000000e+01,5.809276373264570026e+00,5.000000000000000000e+01,9.607276373264570068e+00,5.000000000000000000e+01,1.605627637326456991e+01,5.000000000000000000e+01,2.597227637326457028e+01,5.000000000000000000e+01,3.854427637326457301e+01
5.100000000000000000e+01,3.631276373264570534e+00,5.100000000000000000e+01,5.809276373264570026e+00,5.100000000000000000e+01,9.607276373264570068e+00,5.100000000000000000e+01,1.605627637326456991e+01,5.100000000000000000e+01,2.617227637326456957e+01,5.100000000000000000e+01,3.894427637326457159e+01
5.200000000000000000e+01,3.731276373264570179e+00,5.200000000000000000e+01,6.109276373264570736e+00,5.200000000000000000e+01,9.907276373264570779e+00,5.200000000000000000e+01,1.645627637326456849e+01,5.200000000000000000e+01,2.657227637326456815e+01,5.200000000000000000e+01,3.934427637326457017e+01
5.300000000000000000e+01,3.731276373264570179e+00,5.300000000000000000e+01,6.109276373264570736e+00,5.300000000000000000e+01,9.907276373264570779e+00,5.300000000000000000e+01,1.655627637326456991e+01,5.300000000000000000e+01,2.697227637326457028e+01,5.300000000000000000e+01,3.954427637326457301e+01
5.400000000000000000e+01,3.731276373264570179e+00,5.400000000000000000e+01,6.009276373264571092e+00,5.400000000000000000e+01,1.010727637326457007e+01,5.400000000000000000e+01,1.685627637326457062e+01,5.400000000000000000e+01,2.727227637326456744e+01,5.400000000000000000e+01,3.994427637326457159e+01
5.500000000000000000e+01,3.731276373264570179e+00,5.500000000000000000e+01,6.209276373264570381e+00,5.500000000000000000e+01,1.050727637326457042e+01,5.500000000000000000e+01,1.715627637326457133e+01,5.500000000000000000e+01,2.747227637326457028e+01,5.500000000000000000e+01,4.014427637326457443e+01
5.600000000000000000e+01,3.931276373264570356e+00,5.600000000000000000e+01,6.309276373264570026e+00,5.600000000000000000e+01,1.040727637326457078e+01,5.600000000000000000e+01,1.725627637326456920e+01,5.600000000000000000e+01,2.787227637326456886e+01,5.600000000000000000e+01,4.064427637326457443e+01
5.700000000000000000e+01,3.931276373264570356e+00,5.700000000000000000e+01,6.309276373264570026e+00,5.700000000000000000e+01,1.050727637326457042e+01,5.700000000000000000e+01,1.745627637326456849e+01,5.700000000000000000e+01,2.817227637326456957e+01,5.700000000000000000e+01,4.104427637326457301e+01
5.800000000000000000e+01,4.031276373264570445e+00,5.800000000000000000e+01,6.409276373264569671e+00,5.800000000000000000e+01,1.070727637326457149e+01,5.800000000000000000e+01,1.785627637326457062e+01,5.800000000000000000e+01,2.857227637326456815e+01,5.800000000000000000e+01,4.144427637326457159e+01
5.900000000000000000e+01,4.031276373264570445e+00,5.900000000000000000e+01,6.509276373264571092e+00,5.900000000000000000e+01,1.080727637326457113e+01,5.900000000000000000e+01,1.795627637326456849e+01,5.900000000000000000e+01,2.867227637326456957e+01,5.900000000000000000e+01,4.164427637326457443e+01
6.000000000000000000e+01,4.131276373264570978e+00,6.000000000000000000e+01,6.609276373264570736e+00,6.000000000000000000e+01,1.100727637326457042e+01,6.000000000000000000e+01,1.825627637326456920e+01,6.000000000000000000e+01,2.907227637326456815e+01,6.000000000000000000e+01,4.194427637326457159e+01
6.100000000000000000e+01,4.031276373264570445e+00,6.100000000000000000e+01,6.609276373264570736e+00,6.100000000000000000e+01,1.120727637326457149e+01,6.100000000000000000e+01,1.845627637326456849e+01,6.100000000000000000e+01,2.917227637326456957e+01,6.100000000000000000e+01,4.214427637326457443e+01
6.200000000000000000e+01,4.031276373264570445e+00,6.200000000000000000e+01,6.709276373264570381e+00,6.200000000000000000e+01,1.130727637326457113e+01,6.200000000000000000e+01,1.875627637326456920e+01,6.200000000000000000e+01,2.967227637326456957e+01,6.200000000000000000e+01,4.264427637326457443e+01
6.300000000000000000e+01,4.231276373264570623e+00,6.300000000000000000e+01,6.809276373264570026e+00,6.300000000000000000e+01,1.130727637326457113e+01,6.300000000000000000e+01,1.875627637326456920e+01,6.300000000000000000e+01,2.987227637326456886e+01,6.300000000000000000e+01,4.284427637326457017e+01
6.400000000000000000e+01,4.231276373264570623e+00,6.400000000000000000e+01,7.009276373264571092e+00,6.400000000000000000e+01,1.150727637326457042e+01,6.400000000000000000e+01,1.895627637326456849e+01,6.400000000000000000e+01,3.007227637326456815e+01,6.400000000000000000e+01,4.314427637326457443e+01
6.500000000000000000e+01,4.331276373264570267e+00,6.500000000000000000e+01,7.009276373264571092e+00,6.500000000000000000e+01,1.170727637326457149e+01,6.500000000000000000e+01,1.925627637326456920e+01,6.500000000000000000e+01,3.047227637326457028e+01,6.500000000000000000e+01,4.344427637326457159e+01
6.600000000000000000e+01,4.431276373264569912e+00,6.600000000000000000e+01,7.209276373264570381e+00,6.600000000000000000e+01,1.180727637326457113e+01,6.600000000000000000e+01,1.935627637326457062e+01,6.600000000000000000e+01,3.067227637326456957e+01,6.600000000000000000e+01,4.364427637326457443e+01
6.700000000000000000e+01,4.531276373264570445e+00,6.700000000000000000e+01,7.309276373264570026e+00,6.700000000000000000e+01,1.210727637326457007e+01,6.700000000000000000e+01,1.975627637326456920e+01,6.700000000000000000e+01,3.087227637326456886e+01,6.700000000000000000e+01,4.404427637326457301e+01
6.800000000000000000e+01,4.431276373264569912e+00,6.800000000000000000e+01,7.309276373264570026e+00,6.800000000000000000e+01,1.230727637326457113e+01,6.800000000000000000e+01,1.985627637326457062e+01,6.800000000000000000e+01,3.127227637326456744e+01,6.800000000000000000e+01,4.414427637326457443e+01
6.900000000000000000e+01,4.631276373264570978e+00,6.900000000000000000e+01,7.309276373264570026e+00,6.900000000000000000e+01,1.220727637326457149e+01,6.900000000000000000e+01,2.005627637326456991e+01,6.900000000000000000e+01,3.147227637326457028e+01,6.900000000000000000e+01,4.464427637326457443e+01
7.000000000000000000e+01,4.531276373264570445e+00,7.000000000000000000e+01,7.309276373264570026e+00,7.000000000000000000e+01,1.240727637326457078e+01,7.000000000000000000e+01,2.025627637326456920e+01,7.000000000000000000e+01,3.167227637326456957e+01,7.000000000000000000e+01,4.474427637326457585e+01
7.100000000000000000e+01,4.631276373264570978e+00,7.100000000000000000e+01,7.409276373264569671e+00,7.100000000000000000e+01,1.260727637326457007e+01,7.100000000000000000e+01,2.045627637326456849e+01,7.100000000000000000e+01,3.197227637326457028e+01,7.100000000000000000e+01,4.494427637326457159e+01
7.200000000000000000e+01,4.631276373264570978e+00,7.200000000000000000e+01,7.509276373264571092e+00,7.200000000000000000e+01,1.280727637326457113e+01,7.200000000000000000e+01,2.075627637326456920e+01,7.200000000000000000e+01,3.207227637326457170e+01,7.200000000000000000e+01,4.494427637326457159e+01
7.300000000000000000e+01,4.831276373264570267e+00,7.300000000000000000e+01,7.809276373264570026e+00,7.300000000000000000e+01,1.290727637326457078e+01,7.300000000000000000e+01,2.095627637326456849e+01,7.300000000000000000e+01,3.237227637326456886e+01,7.300000000000000000e+01,4.534427637326457017e+01
7.400000000000000000e+01,4.931276373264569912e+00,7.400000000000000000e+01,7.809276373264570026e+00,7.400000000000000000e+01,1.310727637326457007e+01,7.400000000000000000e+01,2.115627637326456778e+01,7.400000000000000000e+01,3.267227637326457312e+01,7.400000000000000000e+01,4.564427637326457443e+01
7.500000000000000000e+01,4.931276373264569912e+00,7.500000000000000000e+01,7.909276373264569671e+00,7.500000000000000000e+01,1.310727637326457007e+01,7.500000000000000000e+01,2.135627637326457062e+01,7.500000000000000000e+01,3.297227637326457028e+01,7.500000000000000000e+01,4.594427637326457159e+01
7.600000000000000000e+01,4.931276373264569912e+00,7.600000000000000000e+01,7.909276373264569671e+00,7.600000000000000000e+01,1.320727637326457149e+01,7.600000000000000000e+01,2.145627637326456849e+01,7.600000000000000000e+01,3.317227637326457312e+01,7.600000000000000000e+01,4.614427637326457443e+01
7.700000000000000000e+01,5.031276373264570445e+00,7.700000000000000000e+01,8.109276373264570736e+00,7.700000000000000000e+01,1.330727637326457113e+01,7.700000000000000000e+01,2.175627637326456920e+01,7.700000000000000000e+01,3.337227637326457597e+01,7.700000000000000000e+01,4.644427637326457159e+01
7.800000000000000000e+01,5.031276373264570445e+00,7.800000000000000000e+01,8.109276373264570736e+00,7.800000000000000000e+01,1.340727637326457078e+01,7.800000000000000000e+01,2.185627637326457062e+01,7.800000000000000000e+01,3.347227637326457028e+01,7.800000000000000000e+01,4.654427637326457301e+01
7.900000000000000000e+01,4.931276373264569912e+00,7.900000000000000000e+01,8.109276373264570736e+00,7.900000000000000000e+01,1.350727637326457042e+01,7.900000000000000000e+01,2.195627637326456849e+01,7.900000000000000000e+01,3.387227637326457597e+01,7.900000000000000000e+01,4.694427637326457159e+01
8.000000000000000000e+01,5.031276373264570445e+00,8.000000000000000000e+01,8.209276373264570381e+00,8.000000000000000000e+01,1.380727637326457113e+01,8.000000000000000000e+01,2.225627637326456920e+01,8.000000000000000000e+01,3.417227637326457312e+01,8.000000000000000000e+01,4.704427637326457301e+01
8.100000000000000000e+01,5.031276373264570445e+00,8.100000000000000000e+01,8.209276373264570381e+00,8.100000000000000000e+01,1.380727637326457113e+01,8.100000000000000000e+01,2.245627637326456849e+01,8.100000000000000000e+01,3.437227637326457597e+01,8.100000000000000000e+01,4.734427637326457017e+01
8.200000000000000000e+01,5.231276373264570623e+00,8.200000000000000000e+01,8.309276373264570026e+00,8.200000000000000000e+01,1.410727637326457007e+01,8.200000000000000000e+01,2.265627637326456778e+01,8.200000000000000000e+01,3.457227637326457170e+01,8.200000000000000000e+01,4.744427637326457159e+01
8.300000000000000000e+01,5.031276373264570445e+00,8.300000000000000000e+01,8.209276373264570381e+00,8.300000000000000000e+01,1.420727637326457149e+01,8.300000000000000000e+01,2.295627637326456849e+01,8.300000000000000000e+01,3.467227637326457312e+01,8.300000000000000000e+01,4.754427637326457301e+01
8.400000000000000000e+01,5.131276373264570978e+00,8.400000000000000000e+01,8.409276373264569671e+00,8.400000000000000000e+01,1.430727637326457113e+01,8.400000000000000000e+01,2.305627637326456991e+01,8.400000000000000000e+01,3.497227637326457028e+01,8.400000000000000000e+01,4.794427637326457159e+01
8.500000000000000000e+01,5.231276373264570623e+00,8.500000000000000000e+01,8.409276373264569671e+00,8.500000000000000000e+01,1.430727637326457113e+01,8.500000000000000000e+01,2.315627637326456778e+01,8.500000000000000000e+01,3.507227637326457170e+01,8.500000000000000000e+01,4.804427637326457301e+01
8.600000000000000000e+01,5.231276373264570623e+00,8.600000000000000000e+01,8.509276373264571092e+00,8.600000000000000000e+01,1.450727637326457042e+01,8.600000000000000000e+01,2.335627637326457062e+01,8.600000000000000000e+01,3.527227637326457454e+01,8.600000000000000000e+01,4.834427637326457017e+01
