time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
5.000000000000000000e+00,-3.900000000000000133e-01,5.000000000000000000e+00,-6.189999999999999947e-01,5.000000000000000000e+00,2.887000000000000011e+00
6.000000000000000000e+00,-2.899999999999999800e-01,6.000000000000000000e+00,-4.189999999999999836e-01,6.000000000000000000e+00,2.987000000000000099e+00
7.000000000000000000e+00,-3.900000000000000133e-01,7.000000000000000000e+00,-2.190000000000000002e-01,7.000000000000000000e+00,3.087000000000000188e+00
8.000000000000000000e+00,-8.999999999999999667e-02,8.000000000000000000e+00,8.100000000000000255e-02,8.000000000000000000e+00,3.487000000000000099e+00
9.000000000000000000e+00,-8.999999999999999667e-02,9.000000000000000000e+00,8.100000000000000255e-02,9.000000000000000000e+00,3.587000000000000188e+00
1.000000000000000000e+01,1.000000000000000021e-02,1.000000000000000000e+01,2.810000000000000275e-01,1.000000000000000000e+01,3.987000000000000099e+00
1.100000000000000000e+01,2.099999999999999922e-01,1.100000000000000000e+01,5.809999999999999609e-01,1.100000000000000000e+01,4.187000000000000277e+00
1.200000000000000000e+01,2.099999999999999922e-01,1.200000000000000000e+01,6.810000000000000497e-01,1.200000000000000000e+01,4.487000000000000099e+00
1.300000000000000000e+01,3.099999999999999978e-01,1.300000000000000000e+01,6.810000000000000497e-01,1.300000000000000000e+01,4.487000000000000099e+00
1.400000000000000000e+01,4.099999999999999756e-01,1.400000000000000000e+01,1.080999999999999961e+00,1.400000000000000000e+01,4.786999999999999922e+00
1.500000000000000000e+01,4.099999999999999756e-01,1.500000000000000000e+01,9.809999999999999831e-01,1.500000000000000000e+01,4.886999999999999567e+00
1.600000000000000000e+01,6.099999999999999867e-01,1.600000000000000000e+01,1.181000000000000050e+00,1.600000000000000000e+01,5.086999999999999744e+00
1.700000000000000000e+01,7.099999999999999645e-01,1.700000000000000000e+01,1.681000000000000050e+00,1.700000000000000000e+01,5.386999999999999567e+00
1.800000000000000000e+01,8.100000000000000533e-01,1.800000000000000000e+01,1.681000000000000050e+00,1.800000000000000000e+01,5.586999999999999744e+00
1.900000000000000000e+01,7.099999999999999645e-01,1.900000000000000000e+01,1.780999999999999917e+00,1.900000000000000000e+01,5.687000000000000277e+00
2.000000000000000000e+01,8.100000000000000533e-01,2.000000000000000000e+01,1.780999999999999917e+00,2.000000000000000000e+01,5.786999999999999922e+00
2.100000000000000000e+01,9.100000000000000311e-01,2.100000000000000000e+01,1.981000000000000094e+00,2.100000000000000000e+01,5.987000000000000099e+00
2.200000000000000000e+01,1.010000000000000009e+00,2.200000000000000000e+01,2.281000000000000139e+00,2.200000000000000000e+01,6.286999999999999922e+00
2.300000000000000000e+01,1.110000000000000098e+00,2.300000000000000000e+01,2.281000000000000139e+00,2.300000000000000000e+01,6.487000000000000099e+00
2.400000000000000000e+01,1.209999999999999964e+00,2.400000000000000000e+01,2.480999999999999872e+00,2.400000000000000000e+01,6.786999999999999922e+00
2.500000000000000000e+01,1.110000000000000098e+00,2.500000000000000000e+01,2.380999999999999783e+00,2.500000000000000000e+01,6.687000000000000277e+00
2.600000000000000000e+01,1.310000000000000053e+00,2.600000000000000000e+01,2.681000000000000050e+00,2.600000000000000000e+01,6.987000000000000099e+00
2.700000000000000000e+01,1.409999999999999920e+00,2.700000000000000000e+01,2.781000000000000139e+00,2.700000000000000000e+01,7.187000000000000277e+00
