time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
5.000000000000000000e+00,2.889064510854874590e-01,5.000000000000000000e+00,1.960906451085487667e+00,5.000000000000000000e+00,1.513906451085487603e+00,5.000000000000000000e+00,4.869906451085487475e+00,5.000000000000000000e+00,5.558906451085487532e+00,5.000000000000000000e+00,1.273890645108548725e+01
6.000000000000000000e+00,1.889064510854874812e-01,6.000000000000000000e+00,2.060906451085487756e+00,6.000000000000000000e+00,1.813906451085487426e+00,6.000000000000000000e+00,5.369906451085487475e+00,6.000000000000000000e+00,6.858906451085487355e+00,6.000000000000000000e+00,1.493890645108548654e+01
7.000000000000000000e+00,8.890645108548750342e-02,7.000000000000000000e+00,2.160906451085487401e+00,7.000000000000000000e+00,1.713906451085487337e+00,7.000000000000000000e+00,5.869906451085487475e+00,7.000000000000000000e+00,8.258906451085486822e+00,7.000000000000000000e+00,1.733890645108548867e+01
8.000000000000000000e+00,1.889064510854874812e-01,8.000000000000000000e+00,2.360906451085487578e+00,8.000000000000000000e+00,1.913906451085487515e+00,8.000000000000000000e+00,6.669906451085487298e+00,8.000000000000000000e+00,9.458906451085486111e+00,8.000000000000000000e+00,1.943890645108549009e+01
9.000000000000000000e+00,8.890645108548750342e-02,9.000000000000000000e+00,2.360906451085487578e+00,9.000000000000000000e+00,2.113906451085487692e+00,9.000000000000000000e+00,7.069906451085487653e+00,9.000000000000000000e+00,1.065890645108548718e+01,9.000000000000000000e+00,2.143890645108549009e+01
1.000000000000000000e+01,2.889064510854874590e-01,1.000000000000000000e+01,2.560906451085487756e+00,1.000000000000000000e+01,2.313906451085487426e+00,1.000000000000000000e+01,7.669906451085487298e+00,1.000000000000000000e+01,1.175890645108548682e+01,1.000000000000000000e+01,2.323890645108548725e+01
1.100000000000000000e+01,1.889064510854874812e-01,1.100000000000000000e+01,2.660906451085487401e+00,1.100000000000000000e+01,2.513906451085487603e+00,1.100000000000000000e+01,8.069906451085486765e+00,1.100000000000000000e+01,1.265890645108548718e+01,1.100000000000000000e+01,2.493890645108549009e+01
1.200000000000000000e+01,3.889064510854875478e-01,1.200000000000000000e+01,2.760906451085487490e+00,1.200000000000000000e+01,2.813906451085487426e+00,1.200000000000000000e+01,8.769906451085486054e+00,1.200000000000000000e+01,1.385890645108548647e+01,1.200000000000000000e+01,2.673890645108548725e+01
1.300000000000000000e+01,3.889064510854875478e-01,1.300000000000000000e+01,2.960906451085487667e+00,1.300000000000000000e+01,3.013906451085487603e+00,1.300000000000000000e+01,9.169906451085486410e+00,1.300000000000000000e+01,1.485890645108548647e+01,1.300000000000000000e+01,2.823890645108548725e+01
1.400000000000000000e+01,2.889064510854874590e-01,1.400000000000000000e+01,2.860906451085487578e+00,1.400000000000000000e+01,3.213906451085487337e+00,1.400000000000000000e+01,9.769906451085486054e+00,1.400000000000000000e+01,1.585890645108548647e+01,1.400000000000000000e+01,2.983890645108548867e+01
