time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
5.000000000000000000e+00,4.510000000000000120e-01,5.000000000000000000e+00,4.868999999999999773e+00,5.000000000000000000e+00,2.990000000000000213e+00
6.000000000000000000e+00,7.510000000000000009e-01,6.000000000000000000e+00,5.068999999999999950e+00,6.000000000000000000e+00,3.589999999999999858e+00
7.000000000000000000e+00,1.151000000000000023e+00,7.000000000000000000e+00,5.568999999999999950e+00,7.000000000000000000e+00,4.589999999999999858e+00
8.000000000000000000e+00,1.250999999999999890e+00,8.000000000000000000e+00,5.668999999999999595e+00,8.000000000000000000e+00,5.089999999999999858e+00
9.000000000000000000e+00,1.350999999999999979e+00,9.000000000000000000e+00,5.969000000000000306e+00,9.000000000000000000e+00,5.589999999999999858e+00
1.000000000000000000e+01,1.651000000000000023e+00,1.000000000000000000e+01,6.269000000000000128e+00,1.000000000000000000e+01,6.389999999999999680e+00
1.100000000000000000e+01,2.051000000000000156e+00,1.100000000000000000e+01,6.469000000000000306e+00,1.100000000000000000e+01,6.790000000000000036e+00
1.200000000000000000e+01,2.250999999999999890e+00,1.200000000000000000e+01,6.969000000000000306e+00,1.200000000000000000e+01,7.389999999999999680e+00
1.300000000000000000e+01,2.250999999999999890e+00,1.300000000000000000e+01,6.969000000000000306e+00,1.300000000000000000e+01,7.990000000000000213e+00
1.400000000000000000e+01,2.551000000000000156e+00,1.400000000000000000e+01,7.469000000000000306e+00,1.400000000000000000e+01,8.689999999999999503e+00
1.500000000000000000e+01,2.650999999999999801e+00,1.500000000000000000e+01,7.568999999999999950e+00,1.500000000000000000e+01,9.089999999999999858e+00
1.600000000000000000e+01,2.850999999999999979e+00,1.600000000000000000e+01,7.769000000000000128e+00,1.600000000000000000e+01,9.490000000000000213e+00
1.700000000000000000e+01,2.951000000000000068e+00,1.700000000000000000e+01,8.069000000000000838e+00,1.700000000000000000e+01,1.008999999999999986e+01
1.800000000000000000e+01,3.250999999999999890e+00,1.800000000000000000e+01,8.269000000000000128e+00,1.800000000000000000e+01,1.049000000000000021e+01
1.900000000000000000e+01,3.451000000000000068e+00,1.900000000000000000e+01,8.669000000000000483e+00,1.900000000000000000e+01,1.108999999999999986e+01
2.000000000000000000e+01,3.551000000000000156e+00,2.000000000000000000e+01,8.669000000000000483e+00,2.000000000000000000e+01,1.139000000000000057e+01
2.100000000000000000e+01,3.750999999999999890e+00,2.100000000000000000e+01,9.069000000000000838e+00,2.100000000000000000e+01,1.189000000000000057e+01
2.200000000000000000e+01,3.951000000000000068e+00,2.200000000000000000e+01,9.269000000000000128e+00,2.200000000000000000e+01,1.239000000000000057e+01
