times,"reach= 2, kon=0.00094","reach= 2, kon=0.01758","reach= 2, kon=0.65918","reach= 2, kon=49.43848","reach= 2, kon=7415.77148","reach= 2, kon=2224731.44531","reach=10, kon=0.00094","reach=10, kon=0.01758","reach=10, kon=0.65918","reach=10, kon=49.43848","reach=10, kon=7415.77148","reach=10, kon=2224731.44531","reach=30, kon=0.00094","reach=30, kon=0.01758","reach=30, kon=0.65918","reach=30, kon=49.43848","reach=30, kon=7415.77148","reach=30, kon=2224731.44531"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.000896,0.001823,0.0036999999999999997,0.007148,0.014664,0.028953999999999997,0.0009429999999999999,0.001831,0.003629,0.0073679999999999995,0.014615999999999999,0.028748,0.000904,0.001856,0.0036829999999999996,0.007441,0.014733,0.029108
2.0,0.001753,0.003547,0.007163999999999999,0.014138999999999999,0.028321,0.055651,0.0018189999999999999,0.003596,0.007085999999999999,0.014306999999999999,0.02843,0.055192,0.001839,0.0036469999999999996,0.0073869999999999995,0.014570999999999999,0.028842,0.056389999999999996
3.0,0.002583,0.005247,0.010452,0.020579999999999998,0.040855999999999996,0.08043299999999999,0.0026869999999999997,0.00531,0.010516,0.0212,0.041559,0.080206,0.0027749999999999997,0.005484999999999999,0.011014999999999999,0.021696,0.042543,0.08224999999999999
4.0,0.003355,0.0067599999999999995,0.013642,0.026694,0.052784,0.10341199999999999,0.003571,0.006925,0.013881,0.027603,0.054037999999999996,0.103535,0.003659,0.007281999999999999,0.014655,0.028808999999999998,0.056146999999999996,0.106516
5.0,0.004118999999999999,0.008355,0.016635,0.032508999999999996,0.064256,0.124123,0.004371,0.008556,0.017084,0.034054,0.066278,0.125164,0.004599,0.009101,0.018224,0.035552,0.069104,0.129271
6.0,0.004855,0.009727999999999999,0.019402,0.03798,0.074825,0.14349399999999998,0.005187,0.010229,0.020125,0.040096,0.077473,0.145423,0.005507,0.010948,0.021751,0.042412,0.081582,0.150547
7.0,0.005471,0.011068,0.02215,0.043192,0.084939,0.161371,0.00598,0.011743,0.023066999999999997,0.046063,0.08816199999999999,0.164387,0.006423,0.012676999999999999,0.025178,0.049207,0.093772,0.170575
8.0,0.006148,0.012369,0.024728,0.048097999999999995,0.094007,0.178119,0.006738999999999999,0.013217999999999999,0.025939999999999998,0.051788,0.09852799999999999,0.18201299999999998,0.007349,0.014522,0.028739999999999998,0.05593,0.105672,0.18944899999999998
9.0,0.00679,0.01359,0.027056999999999998,0.0527,0.102771,0.193624,0.007476999999999999,0.014622,0.028907,0.057146999999999996,0.108722,0.198022,0.008281,0.01627,0.032098999999999996,0.062474999999999996,0.117084,0.20737
10.0,0.007372999999999999,0.014851,0.029296,0.0572,0.111028,0.20771499999999998,0.008198,0.016108,0.031616,0.062411999999999995,0.118334,0.213356,0.009211,0.017984,0.035509,0.06901499999999999,0.128235,0.224356
11.0,0.007936,0.0159,0.031542,0.061222,0.11864699999999999,0.220528,0.008881,0.017536,0.034311,0.06759,0.127328,0.227661,0.01006,0.019802,0.039073,0.075281,0.138933,0.24023399999999998
12.0,0.008498,0.016895999999999998,0.033590999999999996,0.06523999999999999,0.125776,0.232232,0.009564999999999999,0.018852999999999998,0.036985,0.072582,0.135928,0.24090999999999999,0.010950999999999999,0.021695,0.04239,0.08144499999999999,0.149258,0.255283
13.0,0.008993,0.017932,0.035653,0.069071,0.132813,0.243466,0.010218,0.020263,0.039504,0.077355,0.144212,0.253197,0.011791,0.023479,0.045702,0.087569,0.159407,0.269292
14.0,0.009459,0.018924,0.037391,0.072739,0.139086,0.253768,0.010856,0.021651,0.042061,0.081993,0.152273,0.26487,0.012693,0.025276,0.049041999999999995,0.093509,0.16924,0.282109
15.0,0.009903,0.019781999999999998,0.039141999999999996,0.076123,0.145038,0.263052,0.011507,0.022927,0.044441,0.086417,0.159762,0.275618,0.013566,0.027042999999999998,0.052357999999999995,0.09940099999999999,0.1788,0.294562
16.0,0.010333,0.020694,0.040838,0.079217,0.150621,0.271889,0.012144,0.024225999999999998,0.046806,0.090888,0.166928,0.285781,0.014473,0.028797999999999997,0.055569,0.10530199999999999,0.187855,0.30596999999999996
17.0,0.010714999999999999,0.021505,0.042596999999999996,0.082247,0.155838,0.279995,0.012777,0.025550999999999997,0.049284999999999995,0.095108,0.173711,0.29522,0.015262999999999999,0.030514,0.058855,0.11106099999999999,0.19674899999999998,0.316687
18.0,0.011087999999999999,0.022298,0.044168,0.085241,0.16091999999999998,0.287574,0.013328999999999999,0.026712,0.051567999999999996,0.09929199999999999,0.180001,0.304083,0.016142999999999998,0.032187,0.062122,0.116758,0.205319,0.327105
19.0,0.011517999999999999,0.023035999999999997,0.045632,0.087897,0.16561399999999998,0.294603,0.013968999999999999,0.027836,0.053828,0.103253,0.186327,0.312256,0.017044999999999998,0.033825,0.06522599999999999,0.122349,0.21367899999999998,0.336617
20.0,0.011857,0.023809999999999998,0.047144,0.09051,0.169743,0.30097799999999997,0.014607,0.028946,0.056046,0.10714499999999999,0.192439,0.319899,0.017869,0.03556,0.06841799999999999,0.127754,0.221735,0.34565999999999997
21.0,0.012258,0.024524999999999998,0.048366,0.092781,0.173697,0.30696999999999997,0.0152,0.030149,0.058081,0.110774,0.19827399999999998,0.326644,0.01874,0.037214,0.071513,0.13311599999999998,0.229672,0.354136
22.0,0.012568,0.025143,0.049635,0.09501699999999999,0.177636,0.312532,0.015731,0.031279,0.060153,0.11448699999999999,0.20374599999999998,0.33316,0.019606,0.038863,0.074599,0.138272,0.23732199999999998,0.362054
23.0,0.012784,0.025632,0.050838999999999995,0.097227,0.181501,0.317612,0.016326,0.03232,0.062105999999999995,0.11820399999999999,0.208868,0.33927599999999997,0.020501,0.04052,0.07764,0.1434,0.244664,0.369643
24.0,0.01313,0.026208,0.051981,0.099192,0.1851,0.322451,0.016949,0.033393,0.064002,0.12164499999999999,0.213969,0.34514,0.021339,0.042173999999999996,0.080647,0.148506,0.251734,0.376564
25.0,0.013397,0.026836,0.053155999999999995,0.101186,0.188198,0.32705799999999996,0.017495,0.034491,0.065879,0.125102,0.218775,0.35065399999999997,0.022234999999999998,0.043892,0.083636,0.153581,0.258645,0.38286899999999996
26.0,0.013696,0.027396,0.054161999999999995,0.103129,0.191154,0.331021,0.018033999999999998,0.035483,0.06780499999999999,0.128214,0.223551,0.35580799999999996,0.023046,0.045509999999999995,0.0866,0.158458,0.265451,0.38924
27.0,0.014006999999999999,0.027878999999999998,0.055168999999999996,0.105084,0.194175,0.334565,0.018574,0.036529,0.069774,0.131237,0.22791999999999998,0.360554,0.023892999999999998,0.047122,0.089611,0.16328199999999998,0.271957,0.39516199999999996
28.0,0.014284999999999999,0.028491,0.056028999999999995,0.106708,0.19694299999999998,0.338219,0.019111,0.037534,0.07159299999999999,0.134212,0.23218899999999998,0.364903,0.024756,0.048733,0.092487,0.16810799999999998,0.27824699999999997,0.400416
29.0,0.014568999999999999,0.028977,0.057009,0.108291,0.199157,0.341539,0.019573999999999998,0.038481,0.073368,0.137153,0.236237,0.369015,0.025644,0.050344,0.09536399999999999,0.172945,0.284279,0.405429
30.0,0.014870999999999999,0.02946,0.05799,0.10992299999999999,0.201378,0.344292,0.020087999999999998,0.039483,0.075083,0.140072,0.240024,0.372745,0.026494999999999998,0.052028,0.098409,0.177529,0.29039899999999996,0.410448
31.0,0.015149999999999999,0.029828999999999998,0.05883,0.11141999999999999,0.20367,0.347263,0.020553,0.040478,0.07678299999999999,0.14299499999999998,0.243718,0.376389,0.027368,0.053648999999999995,0.10129099999999999,0.18206799999999998,0.296099,0.414909
32.0,0.015342,0.030247999999999997,0.059579999999999994,0.11277899999999999,0.205652,0.349827,0.021115,0.041423,0.078536,0.14558,0.247184,0.379477,0.028248,0.055279999999999996,0.104085,0.18659499999999998,0.301552,0.41892999999999997
33.0,0.015501,0.030673,0.060306,0.114284,0.207756,0.352002,0.021641,0.042246,0.080159,0.148392,0.250604,0.382393,0.029127999999999998,0.056849,0.10697699999999999,0.191018,0.30688499999999996,0.422932
34.0,0.015740999999999998,0.031046999999999998,0.061041,0.11523599999999999,0.20973999999999998,0.354101,0.022140999999999997,0.04317,0.0818,0.150938,0.25382899999999997,0.38533799999999996,0.029966999999999997,0.058388999999999996,0.109723,0.19536199999999998,0.311845,0.42667499999999997
35.0,0.016028,0.031347,0.061683999999999996,0.116437,0.211411,0.356295,0.022597,0.044034,0.083437,0.153337,0.25671,0.38802699999999996,0.030802999999999997,0.060009999999999994,0.11249999999999999,0.19975199999999999,0.316752,0.43019999999999997
36.0,0.016205999999999998,0.031731999999999996,0.062254,0.11756699999999999,0.213167,0.357954,0.023129999999999998,0.044839,0.085017,0.15579199999999999,0.25970299999999996,0.39024699999999996,0.031657,0.061655999999999996,0.11530599999999999,0.20390699999999998,0.321721,0.43334599999999995
37.0,0.016337,0.032075,0.06289,0.118548,0.21509599999999998,0.359363,0.023655,0.045682,0.086569,0.158208,0.26253499999999996,0.39254999999999995,0.032478,0.063183,0.118086,0.208062,0.326545,0.43631
38.0,0.016444999999999998,0.032454,0.063497,0.11967699999999999,0.216578,0.360773,0.024109,0.046585999999999995,0.08805099999999999,0.160318,0.26525299999999996,0.39480099999999996,0.033302,0.064772,0.12077199999999999,0.212114,0.33110999999999996,0.439114
39.0,0.016617,0.032715999999999995,0.06421199999999999,0.12049,0.218134,0.36217,0.024558,0.047311,0.08949599999999999,0.162519,0.26786899999999997,0.39680299999999996,0.034161,0.066258,0.123444,0.21606899999999998,0.335574,0.441775
40.0,0.016756,0.033074,0.06464,0.12146499999999999,0.219027,0.36391599999999996,0.024995,0.048125,0.090957,0.164401,0.270519,0.398873,0.035013999999999997,0.067822,0.126079,0.219937,0.339613,0.44422999999999996
41.0,0.016901,0.033153999999999996,0.065104,0.12234099999999999,0.220077,0.36516499999999996,0.025393,0.048956,0.09233,0.16652599999999998,0.272965,0.40073,0.035824,0.069392,0.12862099999999999,0.22376,0.34362899999999996,0.446513
42.0,0.017027,0.033486999999999996,0.065528,0.123114,0.22122499999999998,0.366349,0.025792,0.0498,0.09376,0.16852999999999999,0.275422,0.402368,0.036641,0.07094099999999999,0.131267,0.22755199999999998,0.34757699999999997,0.44877999999999996
43.0,0.017116,0.033718,0.065969,0.123904,0.22220099999999998,0.367624,0.026166,0.050617999999999996,0.095022,0.170631,0.277555,0.40393799999999996,0.037473,0.072432,0.133868,0.231181,0.35126999999999997,0.45092
44.0,0.017254,0.033941,0.06643199999999999,0.124567,0.223206,0.36848,0.026563,0.051466,0.096442,0.17266499999999999,0.279601,0.40535299999999996,0.038251,0.073959,0.136421,0.234957,0.354743,0.452735
45.0,0.017429,0.034134,0.06680599999999999,0.125298,0.22433399999999998,0.36924399999999996,0.026979,0.052271,0.097691,0.174725,0.28181,0.406684,0.039022,0.075532,0.138928,0.23849199999999998,0.35824,0.454466
46.0,0.01757,0.034425,0.06722199999999999,0.125977,0.22514699999999999,0.37015,0.027393999999999998,0.053008,0.098992,0.176567,0.28371399999999997,0.407807,0.039785,0.07706199999999999,0.14148,0.241999,0.361718,0.456173
47.0,0.017700999999999998,0.034683,0.067628,0.12659399999999998,0.22603199999999998,0.371187,0.027847999999999998,0.0537,0.100229,0.178218,0.285626,0.408752,0.040574,0.078529,0.14393499999999998,0.245448,0.364811,0.457648
48.0,0.017804,0.034874999999999996,0.067919,0.12731499999999998,0.226898,0.371761,0.02828,0.054488999999999996,0.10140199999999999,0.180228,0.287244,0.409949,0.041318,0.080034,0.146288,0.248807,0.36800099999999997,0.459069
49.0,0.01795,0.035067999999999995,0.06830599999999999,0.12803399999999998,0.22769799999999998,0.372112,0.028652,0.055275,0.102461,0.181953,0.28891,0.41074299999999997,0.042128,0.081527,0.14871199999999998,0.252088,0.37113199999999996,0.46039399999999997
